City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Margate,GB,2020-07-09 04:01:01,51.38,1.39,61.0,99,95,3.0
1,Hermanus,ZA,2020-07-09 04:01:13,-34.42,19.23,60.01,53,100,11.99
2,Maragogi,BR,2020-07-09 03:58:55,-9.01,-35.22,74.46,89,17,4.36
3,Bredasdorp,ZA,2020-07-09 04:01:14,-34.53,20.04,60.8,44,100,8.05
4,Dikson,RU,2020-07-09 04:01:14,73.51,80.55,44.31,83,0,15.41
5,Aykhal,RU,2020-07-09 04:01:14,66.0,111.5,69.8,40,40,11.18
6,Kodiak,US,2020-07-09 03:59:09,57.79,-152.41,64.4,48,90,16.11
7,Port Blair,IN,2020-07-09 04:01:14,11.67,92.75,84.33,71,84,8.34
8,Mataura,NZ,2020-07-09 04:01:14,-46.19,168.86,43.66,94,100,5.48
9,Lasa,IT,2020-07-09 04:01:14,46.62,10.7,57.0,76,5,4.7
10,Punta Arenas,CL,2020-07-09 04:01:15,-53.15,-70.92,32.0,87,10,10.29
11,Saint-Philippe,RE,2020-07-09 04:01:09,-21.36,55.77,68.0,63,45,4.7
12,Derzhavinsk,KZ,2020-07-09 04:01:15,51.1,66.32,75.6,49,0,12.64
13,Svetlaya,RU,2020-07-09 04:01:15,46.54,138.33,59.41,92,97,4.18
14,Hobart,AU,2020-07-09 04:00:02,-42.88,147.33,53.6,62,40,2.24
15,Barrow,US,2020-07-09 04:00:37,71.29,-156.79,44.6,70,1,16.11
16,Kapaa,US,2020-07-09 04:01:16,22.08,-159.32,80.6,69,75,18.34
17,Saint-Georges,GD,2020-07-09 04:01:16,12.06,-61.75,80.6,83,20,9.17
18,East London,ZA,2020-07-09 04:01:16,-33.02,27.91,71.6,35,70,17.22
19,Mweka,CD,2020-07-09 04:01:16,-4.85,21.57,66.99,66,0,1.07
20,Ahuimanu,US,2020-07-09 04:01:16,21.44,-157.84,84.2,54,20,11.41
21,Douglas,US,2020-07-09 03:59:41,41.3,-96.17,82.99,74,1,6.93
22,Victoria,HK,2020-07-09 04:00:03,22.29,114.16,89.01,70,100,21.0
23,Rikitea,PF,2020-07-09 04:01:17,-23.12,-134.97,68.16,69,13,21.52
24,Ushuaia,AR,2020-07-09 04:01:06,-54.8,-68.3,39.2,64,75,8.05
25,Khatanga,RU,2020-07-09 04:00:56,71.97,102.5,65.52,48,95,14.45
26,Upernavik,GL,2020-07-09 04:01:17,72.79,-56.15,40.75,75,0,8.28
27,Deputatskiy,RU,2020-07-09 04:01:17,69.3,139.9,54.46,64,78,7.14
28,Albany,US,2020-07-09 03:59:00,42.6,-73.97,72.0,91,0,2.57
29,Vaini,TO,2020-07-09 04:01:18,-21.2,-175.2,75.2,78,75,8.05
30,Juneau,US,2020-07-09 03:59:01,58.3,-134.42,55.99,87,90,10.29
31,Itarema,BR,2020-07-09 04:01:18,-2.92,-39.92,76.08,87,74,11.14
32,Saint-Augustin,CA,2020-07-09 04:01:18,51.23,-58.65,55.62,93,100,18.43
33,Abha,SA,2020-07-09 04:01:18,18.22,42.51,66.2,48,63,4.74
34,Qaanaaq,GL,2020-07-09 04:01:19,77.48,-69.36,41.36,67,0,2.82
35,Ribeira Grande,PT,2020-07-09 04:01:19,38.52,-28.7,68.2,77,15,8.08
36,Dzilam Gonzalez,MX,2020-07-09 04:01:19,21.28,-88.93,84.99,83,32,8.28
37,Bengkulu,ID,2020-07-09 04:01:19,-3.8,102.27,83.21,64,99,3.62
38,Kaitangata,NZ,2020-07-09 04:01:01,-46.28,169.85,50.0,71,99,11.01
39,Inhambupe,BR,2020-07-09 04:01:19,-11.78,-38.35,68.02,95,23,5.14
40,Auki,SB,2020-07-09 04:01:20,-8.77,160.7,85.69,68,88,5.59
41,Bambous Virieux,MU,2020-07-09 04:01:20,-20.34,57.76,69.8,73,75,17.22
42,Alofi,NU,2020-07-09 04:01:20,-19.06,-169.92,78.8,78,40,14.99
43,Hilo,US,2020-07-09 04:00:58,19.73,-155.09,78.8,69,90,10.29
44,Jamestown,US,2020-07-09 04:01:20,42.1,-79.24,73.4,73,1,3.33
45,Aguimes,ES,2020-07-09 04:01:21,27.91,-15.45,75.0,78,0,28.86
46,Butaritari,KI,2020-07-09 04:00:54,3.07,172.79,83.68,78,81,17.96
47,Sibolga,ID,2020-07-09 04:01:21,1.74,98.78,77.49,75,100,0.54
48,Cairns,AU,2020-07-09 03:58:20,-16.92,145.77,78.8,61,40,17.22
49,Krasnyy Chikoy,RU,2020-07-09 04:01:21,50.36,108.75,68.85,73,98,3.71
50,Atuona,PF,2020-07-09 04:01:22,-9.8,-139.03,79.21,78,13,12.06
51,Najran,SA,2020-07-09 04:01:22,17.49,44.13,84.2,17,43,5.82
52,Adrar,MR,2020-07-09 04:01:22,20.5,-10.07,91.36,11,75,14.38
53,San Policarpo,PH,2020-07-09 04:01:22,12.18,125.51,85.64,67,91,7.72
54,Port Lincoln,AU,2020-07-09 04:01:22,-34.73,135.87,58.12,51,72,12.26
55,Luderitz,NA,2020-07-09 04:01:22,-26.65,15.16,51.8,100,0,12.75
56,Avera,US,2020-07-09 04:01:22,33.19,-82.53,77.0,88,90,5.75
57,Castro,BR,2020-07-09 04:01:17,-24.79,-50.01,48.78,97,23,6.53
58,Tibu,CO,2020-07-09 04:01:23,8.64,-72.74,73.78,96,100,1.88
59,Geraldton,AU,2020-07-09 04:00:55,-28.77,114.6,64.4,52,0,10.29
60,Dzerzhinskoye,RU,2020-07-09 04:01:23,56.83,95.23,59.88,95,100,5.68
61,Pahrump,US,2020-07-09 04:00:15,36.21,-115.98,88.0,8,0,3.0
62,Altay,CN,2020-07-09 04:01:23,47.87,88.12,71.8,39,89,5.21
63,Kavaratti,IN,2020-07-09 04:01:24,10.57,72.64,84.2,83,75,6.93
64,Georgetown,MY,2020-07-09 04:01:20,5.41,100.34,84.2,79,20,5.82
65,Nome,US,2020-07-09 04:01:24,64.5,-165.41,54.0,81,75,18.34
66,Saint-Pierre,RE,2020-07-09 04:01:24,-21.34,55.48,64.4,63,10,4.7
67,Comodoro Rivadavia,AR,2020-07-09 04:01:24,-45.87,-67.5,42.8,52,47,26.4
68,Puerto Del Rosario,ES,2020-07-09 04:01:24,28.5,-13.86,71.6,78,0,12.75
69,Vila Velha,BR,2020-07-09 04:01:14,-20.33,-40.29,69.8,88,0,5.82
70,Norman Wells,CA,2020-07-09 04:01:25,65.28,-126.83,66.2,42,75,6.93
71,Miraflores,MX,2020-07-09 04:01:25,19.22,-98.81,64.4,59,90,3.36
72,Tiksi,RU,2020-07-09 04:01:25,71.69,128.87,34.99,94,100,6.4
73,Nizhniy Baskunchak,RU,2020-07-09 04:01:25,48.22,46.83,86.43,29,62,5.1
74,San Quintin,MX,2020-07-09 04:01:25,30.48,-115.95,65.17,87,0,12.01
75,Umm Lajj,SA,2020-07-09 04:01:26,25.02,37.27,84.99,40,0,5.19
76,Flinders,AU,2020-07-09 04:01:26,-34.58,150.86,66.99,59,26,8.99
77,Abu Samrah,SY,2020-07-09 04:01:26,35.3,37.18,70.54,68,0,9.24
78,Cape Town,ZA,2020-07-09 04:01:26,-33.93,18.42,63.0,55,100,29.97
79,Nikolskoye,RU,2020-07-09 04:01:26,59.7,30.79,55.99,87,81,4.47
80,Ugoofaaru,MV,2020-07-09 04:01:27,5.67,73.0,83.21,75,100,8.77
81,Asau,RO,2020-07-09 04:01:27,46.43,26.4,55.99,87,0,2.24
82,Touros,BR,2020-07-09 04:01:27,-5.2,-35.46,73.4,100,75,3.36
83,Provideniya,RU,2020-07-09 04:01:21,64.38,-173.3,48.2,81,75,6.71
84,Talnakh,RU,2020-07-09 04:01:27,69.49,88.4,57.2,76,40,22.37
85,Natal,BR,2020-07-09 03:58:33,-5.79,-35.21,73.4,100,75,3.36
86,Wadi Musa,JO,2020-07-09 04:01:27,30.32,35.48,66.47,62,0,5.68
87,Isangel,VU,2020-07-09 04:01:28,-19.55,169.27,77.0,69,75,13.87
88,Yellowknife,CA,2020-07-09 04:00:18,62.46,-114.35,66.0,48,20,5.82
89,Inhambane,MZ,2020-07-09 04:01:28,-23.86,35.38,67.1,77,30,6.22
90,Atar,MR,2020-07-09 04:01:28,20.52,-13.05,93.76,11,72,9.44
91,Powell River,CA,2020-07-09 04:00:18,49.85,-124.54,60.8,82,90,8.05
92,Poum,NC,2020-07-09 04:01:29,-20.23,164.02,71.22,67,20,11.59
93,Kui Buri,TH,2020-07-09 04:01:29,12.08,99.85,89.6,62,20,5.82
94,Bonavista,CA,2020-07-09 04:01:29,48.65,-53.11,48.0,81,12,3.0
95,Ridgecrest,US,2020-07-09 04:01:29,35.62,-117.67,93.2,10,1,13.87
96,Narsaq,GL,2020-07-09 04:01:29,60.92,-46.05,50.0,57,100,4.7
97,Nacala,MZ,2020-07-09 04:01:30,-14.54,40.67,70.39,82,51,10.0
98,New Norfolk,AU,2020-07-09 04:01:30,-42.78,147.06,52.0,84,53,1.59
99,Puerto Ayora,EC,2020-07-09 04:00:50,-0.74,-90.35,66.99,96,66,1.01
100,Tonneins,FR,2020-07-09 04:01:30,44.39,0.31,62.01,88,0,2.19
101,Saint George,US,2020-07-09 04:00:53,37.1,-113.58,95.0,5,1,6.93
102,Lethem,GY,2020-07-09 04:01:31,3.38,-59.8,74.73,86,100,8.12
103,Pevek,RU,2020-07-09 04:01:31,69.7,170.31,51.01,66,0,5.37
104,Bijie,CN,2020-07-09 04:01:31,27.31,105.29,76.91,75,100,3.09
105,Hasanpur,IN,2020-07-09 04:01:31,28.72,78.28,93.7,53,13,1.66
106,Chokurdakh,RU,2020-07-09 04:01:31,70.63,147.92,59.65,55,67,11.27
107,Cantanhede,BR,2020-07-09 04:01:31,-3.63,-44.38,72.34,93,27,1.68
108,Tasiilaq,GL,2020-07-09 04:01:32,65.61,-37.64,41.0,86,5,8.05
109,Carnarvon,AU,2020-07-09 04:01:32,-24.87,113.63,69.8,37,34,21.92
110,Tecoanapa,MX,2020-07-09 04:01:32,16.52,-98.75,82.02,78,100,7.54
111,Fortuna,US,2020-07-09 04:01:32,40.6,-124.16,57.99,87,1,10.29
112,Sangar,RU,2020-07-09 04:01:32,63.92,127.47,72.3,38,12,7.47
113,Huarmey,PE,2020-07-09 04:01:32,-10.07,-78.15,59.9,86,3,8.37
114,Varniai,LT,2020-07-09 04:01:32,55.74,22.36,50.0,93,0,10.29
115,Port Hardy,CA,2020-07-09 04:01:33,50.7,-127.42,57.2,100,90,2.24
116,Milicz,PL,2020-07-09 03:58:50,51.53,17.27,54.0,96,54,1.01
117,Canmore,CA,2020-07-09 04:00:10,51.08,-115.35,55.4,82,90,4.7
118,Ossora,RU,2020-07-09 04:01:33,59.24,163.07,54.86,87,100,8.95
119,George,ZA,2020-07-09 04:01:34,-33.96,22.46,77.0,14,90,14.99
120,Chuy,UY,2020-07-09 04:01:34,-33.7,-53.46,45.88,91,88,11.95
121,Henties Bay,NA,2020-07-09 04:01:34,-22.12,14.28,53.01,95,0,1.99
122,Buenaventura,CO,2020-07-09 04:01:34,3.88,-77.03,76.19,88,100,2.17
123,Allende,MX,2020-07-09 03:56:53,25.28,-100.02,89.6,52,5,5.82
124,Tessalit,ML,2020-07-09 04:01:34,20.2,1.01,86.94,32,0,15.19
125,Sola,VU,2020-07-09 04:01:34,-13.88,167.55,79.92,84,75,26.35
126,Saskylakh,RU,2020-07-09 04:01:35,71.92,114.08,64.63,46,5,10.8
127,Tangi,PK,2020-07-09 04:00:31,34.3,71.65,84.2,51,20,4.7
128,Erzurum,TR,2020-07-09 03:58:37,40.0,41.5,53.6,87,0,3.36
129,Cidreira,BR,2020-07-09 04:01:35,-30.18,-50.21,53.55,77,88,22.08
130,Busselton,AU,2020-07-09 03:59:28,-33.65,115.33,59.0,63,13,4.72
131,Funtua,NG,2020-07-09 04:01:35,11.52,7.31,71.85,87,85,7.4
132,Biltine,TD,2020-07-09 04:01:35,14.53,20.92,86.85,41,41,10.2
133,Leo,BF,2020-07-09 04:01:36,11.1,-2.1,74.25,84,99,6.71
134,Ixtapa,MX,2020-07-09 04:01:36,20.7,-105.2,79.0,94,90,4.7
135,Port Alfred,ZA,2020-07-09 04:01:36,-33.59,26.89,75.0,38,27,10.0
136,Kitimat,CA,2020-07-09 04:00:13,54.05,-128.65,59.0,86,97,1.01
137,Westport,US,2020-07-09 03:58:02,41.14,-73.36,73.4,94,1,8.43
138,Aksu,CN,2020-07-09 04:01:36,41.12,80.26,89.08,15,100,6.76
139,Mar Del Plata,AR,2020-07-09 03:58:54,-38.0,-57.56,44.01,93,90,11.45
140,Hokitika,NZ,2020-07-09 04:01:37,-42.72,170.97,47.98,53,0,1.34
141,Kavieng,PG,2020-07-09 04:01:37,-2.57,150.8,85.19,71,84,11.86
142,Roald,NO,2020-07-09 04:01:37,62.58,6.13,51.8,81,100,11.41
143,Tutoia,BR,2020-07-09 04:01:37,-2.76,-42.27,77.29,87,39,6.6
144,Severo-Kurilsk,RU,2020-07-09 04:01:37,50.68,156.12,48.49,91,100,16.87
145,Lucapa,AO,2020-07-09 04:01:37,-8.42,20.74,60.49,46,0,3.02
146,Thompson,CA,2020-07-09 04:00:13,55.74,-97.86,64.4,82,90,3.36
147,Vresina,CZ,2020-07-09 04:01:38,49.82,18.13,55.0,100,20,2.24
148,Sakakah,SA,2020-07-09 04:01:38,29.97,40.21,78.8,24,0,10.29
149,Belmonte,BR,2020-07-09 04:01:38,-15.86,-38.88,68.0,88,40,3.36
150,Okrika,NG,2020-07-09 04:01:38,4.74,7.08,74.71,93,98,2.71
151,Kethely,HU,2020-07-09 04:01:38,46.65,17.39,57.2,93,15,5.82
152,Sumbe,AO,2020-07-09 04:01:38,-11.21,13.84,68.22,84,1,2.84
153,Namatanai,PG,2020-07-09 04:01:38,-3.67,152.43,85.41,68,35,10.89
154,Canton,CN,2020-07-09 03:58:14,23.12,113.25,99.0,29,100,14.0
155,La Cruz,MX,2020-07-09 04:01:39,23.92,-106.9,81.0,92,96,1.01
156,Gambela,ET,2020-07-09 04:01:39,8.25,34.58,69.39,81,100,2.66
157,Bilibino,RU,2020-07-09 04:01:39,68.05,166.44,71.74,37,99,5.08
158,Ushtobe,KZ,2020-07-09 04:01:39,45.25,77.98,81.32,29,96,16.02
159,Iqaluit,CA,2020-07-09 04:01:40,63.75,-68.51,44.6,100,90,0.29
160,Hobyo,SO,2020-07-09 04:01:40,5.35,48.53,79.34,76,80,21.74
161,Gamba,GA,2020-07-09 04:01:40,-2.65,10.0,70.0,91,0,1.43
162,Gigmoto,PH,2020-07-09 04:01:40,13.78,124.39,87.55,64,88,5.14
163,Rundu,NA,2020-07-09 04:01:40,-17.93,19.77,46.4,65,0,1.12
164,Sitka,US,2020-07-09 04:01:40,57.05,-135.33,57.2,76,75,3.36
165,Salym,RU,2020-07-09 04:01:40,60.06,71.48,82.74,56,26,3.83
166,Varberg,SE,2020-07-09 04:01:41,57.11,12.25,55.0,90,0,10.0
167,Mecca,SA,2020-07-09 04:01:41,21.43,39.83,88.45,14,0,5.39
168,Sambava,MG,2020-07-09 04:01:41,-14.27,50.17,72.57,83,59,15.17
169,Linjiang,CN,2020-07-09 04:01:41,41.81,126.91,86.85,31,0,2.71
170,Esperance,AU,2020-07-09 04:01:41,-33.87,121.9,55.4,87,75,16.11
171,Colares,PT,2020-07-09 04:01:41,38.8,-9.45,66.0,95,91,12.1
172,Yamada,JP,2020-07-09 04:01:42,39.47,141.95,79.32,61,100,4.21
173,Trelleborg,SE,2020-07-09 03:58:07,55.38,13.16,54.0,100,96,4.7
174,Guangyuan,CN,2020-07-09 03:59:06,32.44,105.82,90.0,68,100,1.59
175,Acarau,BR,2020-07-09 04:01:38,-2.89,-40.12,75.96,87,84,10.83
176,Belyy Yar,RU,2020-07-09 04:01:42,53.6,91.39,71.6,73,58,6.71
177,Bethel,US,2020-07-09 04:01:42,41.37,-73.41,71.6,94,20,5.12
178,Evensk,RU,2020-07-09 04:01:42,61.95,159.23,52.34,95,100,7.74
179,Olinda,BR,2020-07-09 04:01:42,-8.01,-34.86,75.2,88,40,5.82
180,Gat,IL,2020-07-09 04:01:00,31.61,34.76,75.0,76,40,2.21
181,Bubaque,GW,2020-07-09 04:01:43,11.28,-15.83,82.51,81,99,13.87
182,Marienburg,PL,2020-07-09 04:01:43,54.04,19.03,51.01,87,0,6.93
183,Dudinka,RU,2020-07-09 04:01:44,69.41,86.18,57.2,76,40,22.37
184,Kautokeino,NO,2020-07-09 04:01:44,69.01,23.04,50.25,73,66,7.58
185,Yeppoon,AU,2020-07-09 04:01:44,-23.13,150.73,73.4,56,75,12.75
186,Mapimi,MX,2020-07-09 04:01:44,25.82,-103.85,84.2,45,40,5.82
187,Birjand,IR,2020-07-09 04:01:44,32.87,59.22,71.6,18,0,4.7
188,Goure,NE,2020-07-09 04:01:45,13.98,10.27,84.0,60,2,1.01
189,Kiama,AU,2020-07-09 04:01:45,-34.68,150.87,66.99,74,23,8.01
190,Souillac,MU,2020-07-09 04:01:45,-20.52,57.52,69.8,73,75,17.22
191,Karaton,ID,2020-07-09 04:01:45,-6.34,106.1,86.0,62,20,2.24
192,Karsun,RU,2020-07-09 04:01:45,54.2,46.98,74.62,71,0,13.09
193,Torbay,CA,2020-07-09 04:01:46,47.67,-52.73,50.0,93,75,14.99
194,Dawlatabad,AF,2020-07-09 04:01:46,36.41,64.91,89.83,13,0,7.11
195,Miri,MY,2020-07-09 04:01:46,4.41,114.01,84.2,79,40,6.93
196,Clyde River,CA,2020-07-09 04:01:24,70.47,-68.59,33.8,100,90,8.05
197,Zaysan,KZ,2020-07-09 04:01:05,47.47,84.87,76.86,32,0,8.61
198,Yar-Sale,RU,2020-07-09 04:01:46,66.83,70.83,62.08,48,35,14.16
199,Mogadishu,SO,2020-07-09 04:01:46,2.04,45.34,78.42,82,98,14.32
200,Sioux Lookout,CA,2020-07-09 04:01:47,50.1,-91.92,73.4,78,40,4.7
201,Marsa Matruh,EG,2020-07-09 04:01:47,31.35,27.25,75.2,83,40,6.93
202,Avarua,CK,2020-07-09 04:01:47,-21.21,-159.78,75.2,69,85,18.34
203,Mackay,AU,2020-07-09 04:00:04,-21.15,149.2,71.6,83,40,18.34
204,Te Anau,NZ,2020-07-09 04:01:47,-45.42,167.72,41.99,87,74,0.76
205,Tuktoyaktuk,CA,2020-07-09 04:01:47,69.45,-133.04,37.4,93,90,8.05
206,Mareeba,AU,2020-07-09 04:01:47,-17.0,145.43,78.8,61,40,17.22
207,Vestmanna,FO,2020-07-09 04:01:48,62.16,-7.17,50.0,87,28,10.29
208,Burlington,US,2020-07-09 03:59:59,39.88,-74.64,75.2,88,1,3.36
209,Broken Hill,AU,2020-07-09 03:58:16,-31.95,141.43,57.2,44,100,9.17
210,Coquimbo,CL,2020-07-09 04:01:48,-29.95,-71.34,53.6,76,0,6.93
211,Chapais,CA,2020-07-09 04:01:48,49.78,-74.85,64.4,88,90,5.82
212,Port Elizabeth,ZA,2020-07-09 04:00:06,-33.92,25.57,62.6,48,33,8.05
213,Faanui,PF,2020-07-09 04:01:49,-16.48,-151.75,76.32,77,39,25.7
214,Turinsk,RU,2020-07-09 04:01:49,58.05,63.7,79.16,68,0,5.73
215,Innisfail,AU,2020-07-09 04:01:49,-17.53,146.03,75.9,71,12,9.48
216,Lamar,US,2020-07-09 04:01:49,33.67,-95.58,82.4,78,1,6.93
217,Husavik,IS,2020-07-09 04:01:49,66.04,-17.34,41.0,93,85,2.24
218,Namibe,AO,2020-07-09 04:01:49,-15.2,12.15,65.25,73,0,4.72
219,Heihe,CN,2020-07-09 04:01:50,50.24,127.49,78.8,50,13,4.47
220,Cabo San Lucas,MX,2020-07-09 04:00:56,22.89,-109.91,86.0,25,40,11.41
221,Korla,CN,2020-07-09 04:01:40,41.76,86.15,89.42,14,1,9.22
222,Khash,IR,2020-07-09 04:01:50,28.22,61.22,88.7,12,25,8.99
223,Rivne,UA,2020-07-09 04:01:50,50.62,26.23,55.4,100,75,4.47
224,Airai,TL,2020-07-09 04:01:50,-8.93,125.41,71.58,65,44,5.3
225,Badiraguato,MX,2020-07-09 04:01:50,25.37,-107.52,82.99,92,99,3.24
226,Sinnamary,GF,2020-07-09 04:01:42,5.38,-52.95,77.59,85,95,4.05
227,Coihaique,CL,2020-07-09 04:01:51,-45.58,-72.07,33.8,100,90,5.82
228,Salalah,OM,2020-07-09 04:01:51,17.02,54.09,82.4,88,90,2.24
229,Chicama,PE,2020-07-09 04:01:51,-7.84,-79.15,60.37,85,45,5.68
230,Collie,AU,2020-07-09 04:01:51,-33.37,116.15,59.0,62,10,5.1
231,Pitsunda,GE,2020-07-09 04:01:51,43.16,40.34,69.8,73,40,11.18
232,Ndele,CF,2020-07-09 04:01:51,8.41,20.65,69.22,94,100,1.86
233,Bastia,FR,2020-07-09 04:01:52,42.67,9.33,69.01,64,0,4.7
234,Litovko,RU,2020-07-09 04:01:52,49.24,135.17,59.52,90,100,2.59
235,Aklavik,CA,2020-07-09 04:00:05,68.22,-135.01,57.2,58,40,8.05
236,Cayenne,GF,2020-07-09 04:01:52,4.93,-52.33,75.2,100,89,2.98
237,Mahebourg,MU,2020-07-09 04:01:52,-20.41,57.7,69.8,73,75,17.22
238,Holstebro,DK,2020-07-09 04:01:53,56.36,8.62,48.99,87,89,5.82
239,Burnie,AU,2020-07-09 04:01:53,-41.07,145.92,53.01,75,82,7.0
240,Malakal,SS,2020-07-09 04:01:53,9.53,31.66,73.09,86,100,2.19
241,Kieta,PG,2020-07-09 04:01:53,-6.22,155.63,84.54,70,89,7.23
242,San Jeronimo,PE,2020-07-09 04:01:53,-11.95,-75.28,46.24,69,14,1.74
243,Ola,RU,2020-07-09 04:01:53,59.58,151.28,52.81,93,100,3.65
244,Fort Dodge,US,2020-07-09 04:01:54,42.5,-94.17,82.4,69,1,3.36
245,Emporia,US,2020-07-09 04:00:30,38.4,-96.18,82.4,65,1,8.05
246,Krasnoselkup,RU,2020-07-09 04:01:54,65.7,82.47,63.48,49,44,25.34
247,Kruisfontein,ZA,2020-07-09 04:01:54,-34.0,24.73,62.1,37,46,14.76
248,Boyolangu,ID,2020-07-09 04:01:54,-8.12,111.89,80.94,74,95,11.88
249,Tokur,RU,2020-07-09 04:01:54,53.13,132.9,70.12,48,34,4.03
250,Araouane,ML,2020-07-09 04:01:55,18.9,-3.53,89.82,12,0,3.24
251,Ardon,RU,2020-07-09 04:01:55,43.17,44.29,68.0,94,98,6.71
252,Bagdarin,RU,2020-07-09 04:01:55,54.43,113.6,80.06,47,95,0.98
253,Port-Gentil,GA,2020-07-09 04:01:55,-0.72,8.78,74.14,84,25,9.15
254,Katobu,ID,2020-07-09 04:01:55,-4.94,122.53,82.76,75,99,9.31
255,Mkushi,ZM,2020-07-09 04:01:56,-13.62,29.39,52.47,88,0,7.18
256,Beaverlodge,CA,2020-07-09 04:01:56,55.22,-119.44,62.6,63,75,6.93
257,Ponta Delgada,PT,2020-07-09 04:01:56,37.73,-25.67,66.2,72,75,5.82
258,Mnogovershinnyy,RU,2020-07-09 04:01:56,53.94,139.92,54.19,87,100,4.47
259,Tayu,ID,2020-07-09 04:01:56,-6.54,111.05,86.97,56,49,10.47
260,Houma,US,2020-07-09 04:01:56,29.6,-90.72,81.0,88,1,6.26
261,Gazli,UZ,2020-07-09 04:01:57,40.13,63.45,95.16,14,0,12.41
262,Lewiston,US,2020-07-09 04:00:47,44.1,-70.21,64.4,93,1,2.59
263,Mount Isa,AU,2020-07-09 04:01:57,-20.73,139.5,80.6,34,0,10.29
264,Yelbarga,IN,2020-07-09 04:01:57,15.63,76.02,77.02,77,100,11.32
265,Trat,TH,2020-07-09 04:01:57,12.5,102.5,86.0,74,40,3.36
266,Ha Giang,VN,2020-07-09 04:00:21,22.83,104.98,88.21,64,100,4.43
267,Makakilo City,US,2020-07-09 04:01:57,21.35,-158.09,84.2,51,20,10.29
268,Ancud,CL,2020-07-09 04:01:58,-41.87,-73.82,45.0,100,90,11.41
269,Ponta Do Sol,PT,2020-07-09 04:01:58,32.67,-17.1,68.0,64,20,18.34
270,Baykit,RU,2020-07-09 04:01:58,61.67,96.37,63.0,49,66,12.19
271,Cranendonck,NL,2020-07-09 04:01:58,51.28,5.58,62.01,100,100,10.29
272,Ulaangom,MN,2020-07-09 04:01:59,49.98,92.07,72.16,36,7,10.22
273,Longyearbyen,SJ,2020-07-09 04:01:59,78.22,15.64,44.6,87,75,4.7
274,Muros,ES,2020-07-09 04:01:59,42.78,-9.06,64.0,74,0,1.99
275,Ciudad Bolivar,VE,2020-07-09 04:01:59,8.12,-63.55,77.0,82,0,9.66
276,Sechura,PE,2020-07-09 04:01:59,-5.56,-80.82,63.84,79,30,13.6
277,Sjovegan,NO,2020-07-09 04:02:00,68.87,17.85,51.8,81,90,8.05
278,Helong,CN,2020-07-09 04:02:00,42.54,129.0,79.54,40,61,1.66
279,Tigil,RU,2020-07-09 04:01:42,57.8,158.67,66.25,85,100,7.94
280,Davila,PH,2020-07-09 04:02:00,18.47,120.58,89.6,75,20,6.93
281,Hofn,IS,2020-07-09 04:02:00,64.25,-15.21,50.92,73,72,10.58
282,Hamilton,US,2020-07-09 04:02:01,39.18,-84.53,79.0,94,1,2.21
283,Bathsheba,BB,2020-07-09 04:02:01,13.22,-59.52,80.6,78,40,18.34
284,Nanortalik,GL,2020-07-09 04:02:01,60.14,-45.24,44.89,85,100,7.85
